region,imd_income,group_code,register,list,prevalence
East Midlands,1,AF,8107.340243742102,461434.2798878539,0.017569869853866285
East Midlands,1,AST,29559.47969114893,461434.2798878539,0.06405999939651863
East Midlands,1,CAN,12111.95576217431,461434.2798878539,0.026248495809886464
East Midlands,1,CHD,14999.377544709243,461434.2798878539,0.03250598882327222
East Midlands,1,CKD,15085.119794807473,334218.05519422016,0.04513556212886595
East Midlands,1,COPD,10614.001763390395,461434.2798878539,0.0230021960353054
East Midlands,1,CVDPP,3234.534149865204,239855.80374937344,0.013485327848247464
East Midlands,1,DEM,3032.0656150437662,462072.0153218233,0.0065618897368887345
East Midlands,1,DEP,43293.92850856656,334218.05519422016,0.12953797030327305
East Midlands,1,DM,29938.832768498476,340193.8789470209,0.0880052070929851
East Midlands,1,EP,3169.220408699499,334218.05519422016,0.009482493119223638
East Midlands,1,HF,4558.341328861332,461434.2798878539,0.009878636086528255
East Midlands,1,HYP,65418.51436554713,461434.2798878539,0.14177211624035893
East Midlands,1,LD,3443.282321941583,461434.2798878539,0.00746212943429004
East Midlands,1,MH,4918.224752867098,461434.2798878539,0.010658559554921697
East Midlands,1,OB,40452.5465703884,334218.05519422016,0.12103638909298509
East Midlands,1,OST,1055.1049099069319,129293.70789978486,0.008160527894557254
East Midlands,1,PAD,3034.944662899636,461434.2798878539,0.006577198086880852
East Midlands,1,PC,2919.588402553921,461434.2798878539,0.006327203092200892
East Midlands,1,RA,2728.807541588734,346300.5660150664,0.007879881840764916
East Midlands,1,STIA,8128.788218994566,461434.2798878539,0.0176163509589495
East Midlands,10,AF,10101.38685496809,455383.6866093707,0.022182144753975532
East Midlands,10,AST,29197.518267249805,455383.6866093707,0.06411630263842875
East Midlands,10,CAN,14934.113338801533,455383.6866093707,0.03279457252848861
East Midlands,10,CHD,13624.867520563284,455383.6866093707,0.029919533617924113
East Midlands,10,CKD,16326.943794070072,369535.1821888672,0.04418237986802964
East Midlands,10,COPD,7450.343263494408,455383.6866093707,0.01636058445344647
East Midlands,10,CVDPP,3198.464282717757,258696.24606109384,0.012363783129510144
East Midlands,10,DEM,3939.917479766237,455588.5382600731,0.008647973223411367
East Midlands,10,DEP,40944.93463793627,369535.1821888672,0.11080118108215624
East Midlands,10,DM,22733.84812296578,374598.67545190605,0.06068854380101654
East Midlands,10,EP,2634.3935711636277,369535.1821888672,0.007128938456033681
East Midlands,10,HF,4420.744988654706,455383.6866093707,0.009707736835217006
East Midlands,10,HYP,63016.42199626638,455383.6866093707,0.13838093864421197
East Midlands,10,LD,1991.1041995085016,455383.6866093707,0.004372366112483243
East Midlands,10,MH,3082.364216404694,455383.6866093707,0.006768719010017489
East Midlands,10,OB,34628.24390466589,369535.1821888672,0.0937075698707562
East Midlands,10,OST,1458.8294116638194,187789.90773000367,0.00776841220754665
East Midlands,10,PAD,2528.9857925457227,455383.6866093707,0.005553527425138295
East Midlands,10,PC,2987.7536167577578,455383.6866093707,0.006560958823544025
East Midlands,10,RA,2662.1332404467553,379961.3912651053,0.007006325646884847
East Midlands,10,STIA,8219.540931657917,455383.6866093707,0.018049704399509287
East Midlands,2,AF,8984.357430043883,457170.29396255245,0.01965210239749262
East Midlands,2,AST,29595.441151913827,457170.29396255245,0.06473614218324088
East Midlands,2,CAN,13113.031039250047,457170.29396255245,0.028683033898795174
East Midlands,2,CHD,15525.101683347228,457170.29396255245,0.03395912177228846
East Midlands,2,CKD,17070.52741468623,350370.55376469676,0.04872135295407993
East Midlands,2,COPD,10381.076231271722,457170.29396255245,0.022707241411713534
East Midlands,2,CVDPP,3171.263017124789,245033.83915177002,0.012942143126446138
East Midlands,2,DEM,3434.9063665733674,457112.45013287826,0.007514357496880412
East Midlands,2,DEP,45158.51139374829,350370.55376469676,0.12888786146131453
East Midlands,2,DM,29976.875452978726,355509.1078245633,0.08432097741859182
East Midlands,2,EP,3203.179377534653,350370.55376469676,0.009142261937017278
East Midlands,2,HF,4726.323699962321,457170.29396255245,0.010338212614377482
East Midlands,2,HYP,67323.73797451278,457170.29396255245,0.14726183845188195
East Midlands,2,LD,3183.5198643136223,457170.29396255245,0.006963531765636526
East Midlands,2,MH,4551.9587404364565,457170.29396255245,0.009956812156323776
East Midlands,2,OB,42470.44119412672,350370.55376469676,0.1212157835120162
East Midlands,2,OST,1165.3492969276028,144977.6671891827,0.008038129730746238
East Midlands,2,PAD,3165.2918834132684,457170.29396255245,0.006923660450415316
East Midlands,2,PC,2944.446464011013,457170.29396255245,0.006440590088410682
East Midlands,2,RA,2833.056724483118,360893.35759605723,0.007850121552123767
East Midlands,2,STIA,8668.97450307013,457170.29396255245,0.01896224364870964
East Midlands,3,AF,11524.224240821915,549338.555975965,0.020978364098889375
East Midlands,3,AST,36100.952312095586,549338.555975965,0.06571712820695422
East Midlands,3,CAN,16886.040758043404,549338.555975965,0.03073885962372212
East Midlands,3,CHD,19104.215472213367,549338.555975965,0.03477676064129973
East Midlands,3,CKD,21913.4186665716,435800.624642713,0.050283128172514915
East Midlands,3,COPD,12498.798217047168,549338.555975965,0.022752450344290093
East Midlands,3,CVDPP,3886.4376328101084,300773.625413391,0.012921470848610775
East Midlands,3,DEM,4412.23610419637,549589.1710188916,0.008028244253824106
East Midlands,3,DEP,55343.05885111905,435800.624642713,0.1269916923512708
East Midlands,3,DM,36794.05974622202,441498.230760385,0.0833390876399487
East Midlands,3,EP,3908.5034952115884,435800.624642713,0.008968558726633167
East Midlands,3,HF,6084.037471970505,549338.555975965,0.01107520563737146
East Midlands,3,HYP,83986.68768199602,549338.555975965,0.15288693423818345
East Midlands,3,LD,3671.5453491259996,549338.555975965,0.006683574835928027
East Midlands,3,MH,5073.818786473955,549338.555975965,0.00923623279538374
East Midlands,3,OB,52472.59938191489,435800.624642713,0.12040505775991958
East Midlands,3,OST,1706.4560550933356,190509.7260972541,0.00895731724595625
East Midlands,3,PAD,3774.893709458667,549338.555975965,0.00687170719839994
East Midlands,3,PC,3701.625521431453,549338.555975965,0.006738331910555735
East Midlands,3,RA,3666.6875717525363,447193.84617194673,0.008199324751760313
East Midlands,3,STIA,10707.545006611186,549338.555975965,0.01949170486966451
East Midlands,4,AF,11436.198699576606,525567.3220357717,0.02175972177128285
East Midlands,4,AST,34936.671692414406,525567.3220357717,0.06647420839843714
East Midlands,4,CAN,16842.234542724025,525567.3220357717,0.03204581760807741
East Midlands,4,CHD,18180.448457884922,525567.3220357717,0.03459204500664809
East Midlands,4,CKD,21395.525855137534,421474.1589304002,0.05076355311897227
East Midlands,4,COPD,11409.324578601234,525567.3220357717,0.021708588225020354
