imd_income,group_code,register,list,prevalence
1,AF,108405.12750052278,6350522.521113156,0.017070268964501034
1,AST,428007.6469756507,6350522.521113156,0.06739723314934833
1,CAN,164029.04442078262,6350522.521113156,0.025829220174473245
1,CHD,205387.98621984874,6350522.521113156,0.03234190344763113
1,CKD,191957.59258874774,4671981.194602792,0.04108697886252254
1,COPD,159542.1901126979,6350522.521113156,0.02512268708319334
1,CVDPP,40160.466384334,3301419.8066772697,0.012164604544719716
1,DEM,38186.24699889099,6356527.73418816,0.006007406652771891
1,DEP,624271.9337302151,4671981.194602792,0.1336203866683779
1,DM,406214.2383882874,4751779.265829592,0.08548676520170141
1,EP,45017.2847291748,4671981.194602792,0.009635587741915586
1,HF,58339.87585661587,6350522.521113156,0.00918662608669715
1,HYP,880903.9411278925,6350522.521113156,0.1387136158007802
1,LD,41686.982504731845,6350522.521113156,0.0065643389762240715
1,MH,75889.04724494842,6350522.521113156,0.011950047731134752
1,OB,606075.466061872,4671981.194602792,0.129725579110213
1,OST,12990.46111290639,1781966.919538245,0.007289956379365653
1,PAD,45749.951281615926,6350522.521113156,0.007204123933032933
1,PC,31220.499887284266,6350522.521113156,0.004916209616372127
1,RA,37474.479139387004,4835020.709299987,0.007750634669941785
1,STIA,110207.58394017765,6350522.521113156,0.017354097017021494
10,AF,126454.65152959769,5824417.408493258,0.021711124505808855
10,AST,358382.0471268021,5824417.408493258,0.061530969020902194
10,CAN,195132.64404729242,5824417.408493258,0.0335025171380655
10,CHD,162396.15118827092,5824417.408493258,0.027881956219597562
10,CKD,175160.68009206775,4764164.907014208,0.03676629241657469
10,COPD,84272.84889513526,5824417.408493258,0.014468888986604438
10,CVDPP,37202.16680345253,3241587.389239922,0.011476527496047417
10,DEM,49770.04295452005,5825249.310213986,0.008543847705754552
10,DEP,492193.66460712877,4764164.907014208,0.10331163471744638
10,DM,265399.94010949845,4831071.808762055,0.054936037098050554
10,EP,32044.864718986286,4764164.907014208,0.006726229117679599
10,HF,47063.19548529488,5824417.408493258,0.0080803266978542055
10,HYP,762108.565947301,5824417.408493258,0.1308471753476978
10,LD,21892.152590398255,5824417.408493258,0.003758685385163977
10,MH,42176.50220141989,5824417.408493258,0.007241325482599761
10,OB,383315.77183807,4764164.907014208,0.08045812420844627
10,OST,22287.132793988894,2365493.6176376822,0.009421768305697693
10,PAD,28747.54712890753,5824417.408493258,0.004935694870870243
10,PC,26032.237020312434,5824417.408493258,0.004469500585990251
10,RA,33928.51318189129,4898132.515619329,0.00692682631057835
10,STIA,99919.8441251819,5824417.408493258,0.01715533711225387
2,AF,109041.15256064261,6290967.017107639,0.017332971586739587
2,AST,405793.04266751546,6290967.017107639,0.06450408046394186
2,CAN,169020.0886687713,6290967.017107639,0.026867107744983958
2,CHD,190578.4303555384,6290967.017107639,0.030293980215963606
2,CKD,188685.73182071306,4823514.110584585,0.03911789775978189
2,COPD,135534.96400266106,6290967.017107639,0.021544376823799526
2,CVDPP,40018.40122227939,3390425.320413076,0.011803357231122764
2,DEM,40361.471198437146,6292658.775981974,0.006414056861384274
2,DEP,587477.5733837154,4823514.110584585,0.12179451742342184
2,DM,388409.72427211585,4895482.831413788,0.07934043232257548
2,EP,41154.774761449706,4823514.110584585,0.008532114516082956
2,HF,55405.23474751632,6290967.017107639,0.008807109399373333
2,HYP,865606.871231752,6290967.017107639,0.1375952010045233
2,LD,37056.726090188386,6290967.017107639,0.005890465804289932
2,MH,69710.51946435831,6290967.017107639,0.011081049904535773
2,OB,575575.7558750956,4823514.110584585,0.11932705962486317
2,OST,14275.31637750141,1881505.5133588237,0.007587177542742045
2,PAD,39630.84032536461,6290967.017107639,0.0062996420451089
2,PC,29209.383713272673,6290967.017107639,0.0046430673748313655
2,RA,37714.68770755461,4970038.711928429,0.007588409244587332
2,STIA,106459.1519840634,6290967.017107639,0.016922541748281093
3,AF,114426.47851561109,6267798.44908891,0.01825624730039687
3,AST,398236.0862522078,6267798.44908891,0.06353683665595462
3,CAN,176684.52551693385,6267798.44908891,0.028189248099165794
3,CHD,188956.68098236807,6267798.44908891,0.030147217163601504
3,CKD,193319.22550273148,4937702.093250131,0.039151658373031466
3,COPD,128016.39360768208,6267798.44908891,0.02042445918571147
3,CVDPP,40946.27800004905,3465509.758393723,0.011815369413078152
3,DEM,42891.595670506045,6269506.104603225,0.006841303757406661
3,DEP,579598.1045863653,4937702.093250131,0.11738215340667867
3,DM,383099.98899922136,5003117.630540642,0.07657225300093998
3,EP,40403.47507329453,4937702.093250131,0.008182647375289474
3,HF,55595.444806863954,6267798.44908891,0.00887001157718231
3,HYP,872375.1753038171,6267798.44908891,0.1391836675014057
3,LD,34578.09965388939,6267798.44908891,0.005516785508461217
3,MH,65228.45508471715,6267798.44908891,0.01040691649780136
3,OB,559705.206771961,4937702.093250131,0.1133533769761204
3,OST,15916.061217609667,2000387.327544202,0.007956489724992008
3,PAD,37952.43854588026,6267798.44908891,0.00605514661234792
3,PC,29227.559764628724,6267798.44908891,0.004663130124880971
3,RA,38453.85843308773,5070754.274113943,0.007583459255636501
3,STIA,107181.65425427876,6267798.44908891,0.0171003670786285
4,AF,119955.46393510928,6229366.36536132,0.019256447108670183
4,AST,395822.9415713327,6229366.36536132,0.06354144520577959
4,CAN,184137.84049666155,6229366.36536132,0.029559642136408694
4,CHD,189582.91128678617,6229366.36536132,0.030433739190709786
4,CKD,197877.91225430815,4978768.194151306,0.0397443513210277
4,COPD,120421.37249721386,6229366.36536132,0.019331239396485407
