PRACTICE_CODE,TOTAL,16OV,17OV,18OV,30_74,50OV,0_64,65OV,65OV%
A82018,12693,10441,10322,10216,7399,4991,10271,2422,0.190813834
A82019,8408,7008,6926,6844,4437,3166,6895,1513,0.179947669
A82020,15050,12192,12044,11891,8756,6026,12028,3022,0.200797342
A82021,17273,14682,14501,14325,10515,8570,12844,4429,0.256411741
A82022,5181,4377,4295,4204,2931,2484,3851,1330,0.256707199
A82023,5136,4308,4262,4212,3079,2397,3895,1241,0.241627726
A82024,5636,4854,4800,4752,3452,3095,3993,1643,0.291518808
A82025,10431,8771,8661,8557,6302,4601,8201,2230,0.213785831
A82026,17504,14735,14539,14352,10229,8076,13265,4239,0.242173218
A82027,10093,8695,8594,8508,6136,4916,7464,2629,0.260477559
A82028,8390,7364,7283,7188,5081,4393,6053,2337,0.278545888
A82029,3461,2966,2931,2888,2112,1838,2537,924,0.266974863
A82030,6252,5366,5305,5241,3731,3462,4402,1850,0.29590531
A82031,3053,2630,2602,2576,1916,1608,2268,785,0.25712414
A82032,13953,11560,11416,11275,7912,6105,10735,3218,0.230631405
A82033,8141,6851,6769,6689,4750,3965,6073,2068,0.254022847
A82034,6315,5454,5362,5252,3607,3525,4223,2092,0.331274743
A82035,14575,12443,12293,12152,8613,7034,10841,3734,0.25619211
A82036,10389,8829,8719,8657,6121,4876,7883,2506,0.241216671
A82037,4272,3738,3701,3673,2520,2367,2932,1340,0.313670412
A82038,4712,3908,3850,3800,2808,2273,3569,1143,0.242572156
A82039,8831,7462,7374,7295,5036,4059,6759,2072,0.234628015
A82041,10569,8757,8646,8534,6122,4606,8377,2192,0.207398997
A82044,24047,19884,19643,19399,13898,10336,19129,4918,0.204516156
A82045,8800,7312,7226,7126,5106,4036,6777,2023,0.229886364
A82046,5640,4921,4864,4827,3383,2247,4580,1060,0.187943262
A82047,9250,7716,7632,7558,5337,4132,7138,2112,0.228324324
A82048,6274,5143,5079,5013,3648,2637,5017,1257,0.200350653
A82049,5844,4774,4724,4679,3317,2420,4665,1179,0.20174538
A82050,6804,5576,5495,5436,3895,2880,5369,1435,0.21090535
A82053,5026,4488,4450,4422,3005,3100,3107,1919,0.381814564
A82055,6765,5627,5567,5499,3995,3246,5098,1667,0.246415373
A82058,4337,3666,3622,3588,2628,1966,3382,955,0.220198294
A82062,4774,3984,3938,3901,2726,2074,3764,1010,0.211562631
A82064,4944,4276,4227,4166,3079,2481,3689,1255,0.253843042
A82065,2862,2593,2573,2554,1686,1727,1829,1033,0.360936408
A82068,4442,3781,3726,3678,2638,2029,3435,1007,0.226699685
A82070,6185,5400,5308,5230,3647,3264,4391,1794,0.290056589
A82071,4331,3630,3587,3543,2551,1865,3381,950,0.21934888
A82072,6499,5371,5305,5248,3727,2794,5124,1375,0.211571011
A82075,6992,5767,5697,5631,4087,2985,5547,1445,0.20666476
A82077,5304,4340,4281,4218,2980,2125,4350,954,0.179864253
A82608,4344,3517,3370,3219,2286,2013,3266,1078,0.248158379
A82613,1030,906,896,887,642,524,740,290,0.281553398
A82617,2585,2160,2135,2108,1605,1335,1917,668,0.258413926
A82620,864,764,758,750,552,414,677,187,0.216435185
A82621,1280,1107,1093,1080,775,620,989,291,0.22734375
A82623,4983,4115,4058,4000,2915,2148,3893,1090,0.218743729
A82629,3139,2688,2665,2634,1921,1441,2446,693,0.220770946
A82631,3330,2845,2800,2767,2066,1685,2509,821,0.246546547
A82646,3472,2899,2868,2828,2083,1646,2629,843,0.242799539
A82647,2755,2446,2417,2387,1661,1630,1866,889,0.322686025
A82650,2818,2479,2453,2434,1810,1567,2003,815,0.289212207
A82651,3404,2926,2894,2862,2123,1821,2468,936,0.274970623
A82654,7672,6423,6348,6273,4446,3281,6180,1492,0.19447341
A83001,14354,11798,11657,11513,8474,5782,11492,2862,0.19938693
A83003,9257,7614,7492,7379,5489,4021,7302,1955,0.211191531
A83005,12018,9852,9708,9557,6868,5081,9467,2551,0.212264936
A83006,8091,6606,6519,6421,4573,3197,6617,1474,0.182177728
A83007,10111,8494,8395,8294,5818,4541,7849,2262,0.223716744
A83008,5515,4561,4502,4450,3133,2352,4343,1172,0.212511333
A83009,8226,7027,6935,6848,4784,3788,6244,1982,0.24094335
A83010,13692,11481,11320,11170,7915,6179,10489,3203,0.233932223
A83011,34042,32148,32047,31927,8959,5279,31223,2819,0.082809471
A83012,15943,13015,12835,12654,9113,6359,12943,3000,0.188170357
A83013,11794,9328,9190,9065,6536,4051,9943,1851,0.156944209
A83014,6781,5728,5657,5585,3975,3144,5159,1622,0.239197758
A83015,9994,8387,8293,8188,5819,4614,7595,2399,0.240044026
