PRACTICE_CODE,TOTAL,16OV,17OV,18OV,30_74,50OV,0_64,65OV,65OV%
E82038,8958,7293,7180,7072,5211,3984,7102,1856,0.207189105
E82040,20847,16822,16581,16355,11839,7475,17556,3291,0.157864441
E82041,10525,8282,8151,8013,5855,3634,8909,1616,0.153539192
E82042,9580,7673,7576,7463,5337,3111,8263,1317,0.137473904
E82043,13345,10839,10682,10540,7672,5336,10566,2779,0.208242788
E82044,14077,11570,11398,11234,8286,5780,11324,2753,0.195567237
E82045,9553,7786,7708,7599,5463,2128,8838,715,0.074845598
E82046,11547,9462,9327,9209,6628,4799,9289,2258,0.195548627
E82048,9324,7610,7513,7422,5525,3297,7827,1497,0.160553411
E82049,3781,3147,3112,3070,2157,1716,2896,885,0.234065062
E82050,4927,3855,3806,3759,2869,1563,4226,701,0.142277248
E82051,14143,11286,11144,11030,7984,5076,11748,2395,0.169341724
E82053,17985,14410,14237,14071,10466,6226,15005,2980,0.165693634
E82055,13100,10431,10262,10109,7296,5389,10287,2813,0.214732824
E82056,8469,6761,6669,6584,4781,3073,7130,1339,0.158106034
E82057,32,29,29,29,23,12,29,3,0.09375
E82058,17651,16284,16184,16058,5481,3645,15930,1721,0.097501558
E82059,10618,8409,8268,8131,6111,3760,8820,1798,0.169335091
E82060,21278,16707,16444,16203,12498,6704,18385,2893,0.135962027
E82061,13167,10798,10651,10505,7448,4991,10703,2464,0.187134503
E82062,16202,13299,13118,12958,9271,6467,13091,3111,0.192013332
E82063,12505,9561,9418,9286,6791,3946,10756,1749,0.139864054
E82064,6954,5583,5471,5372,3912,2825,5644,1310,0.188380788
E82066,3356,2770,2741,2692,1980,1324,2778,578,0.172228844
E82067,16258,13194,12962,12762,9365,6071,13621,2637,0.162197072
E82068,11814,9645,9487,9334,6921,4710,9612,2202,0.18638903
E82069,6843,5479,5433,5369,3830,1417,6233,610,0.089142189
E82070,3084,2394,2354,2323,1789,806,2805,279,0.090466926
E82071,16512,12710,12466,12276,9249,5912,13979,2533,0.153403585
E82072,11729,9520,9388,9284,6897,4507,9355,2374,0.202404297
E82073,25821,20463,20153,19874,14822,8301,22168,3653,0.141473994
E82074,21243,17619,17329,17001,11795,7424,17968,3275,0.154168432
E82075,12760,10288,10147,10014,7267,4823,10412,2348,0.184012539
E82077,11984,9455,9304,9151,6751,4760,9830,2154,0.179739653
E82078,9466,7789,7644,7524,5218,3656,7732,1734,0.183181914
E82079,8646,6682,6577,6461,4704,2693,7497,1149,0.132893824
E82081,13097,10817,10664,10506,7458,5821,10314,2783,0.21249141
E82082,12977,10633,10460,10316,7265,5502,10183,2794,0.215303999
E82083,10557,8611,8479,8350,6045,4172,8550,2007,0.190110827
E82084,14102,11133,10956,10783,8150,4869,11989,2113,0.149836903
E82085,19990,16181,15922,15667,11341,7864,16264,3726,0.186393197
E82086,15718,12829,12656,12495,9235,5201,13283,2435,0.154917928
E82088,9093,7387,7282,7172,5162,3624,7280,1813,0.199384142
E82089,14965,12052,11860,11689,8396,5358,12657,2308,0.154226529
E82090,10785,9047,8923,8798,6177,4884,8279,2506,0.232359759
E82091,17393,14146,13942,13754,9978,6729,14287,3106,0.178577589
E82092,14511,11817,11663,11530,8452,5519,11920,2591,0.1785542
E82093,12845,10231,10076,9929,7141,4495,10893,1952,0.151965745
E82094,11362,9177,9059,8944,6638,4504,9178,2184,0.19221968
E82096,10923,8728,8615,8491,6213,3909,9244,1679,0.15371235
E82098,8244,6773,6675,6574,4608,3453,6534,1710,0.207423581
E82099,12905,10660,10512,10369,7471,5334,10440,2465,0.191011236
E82100,12539,10267,10136,10004,7359,5151,9951,2588,0.206396044
E82102,9681,7950,7849,7756,5714,3774,7837,1844,0.19047619
E82104,5061,4183,4120,4061,2944,2266,3822,1239,0.244813278
E82105,4795,3807,3751,3679,2772,1516,4197,598,0.124713243
E82106,10841,8679,8561,8442,6199,4212,8765,2076,0.19149525
E82107,8834,7019,6911,6809,5001,3000,7451,1383,0.156554222
E82109,10291,8150,8036,7927,5951,3451,8673,1618,0.157224759
E82111,4483,3583,3543,3497,2539,1541,3778,705,0.157260763
E82113,4137,3418,3378,3331,2459,1614,3375,762,0.184191443
E82115,10927,9092,8971,8854,6322,4502,8863,2064,0.188889906
E82117,13516,10411,10267,10148,7481,3763,11921,1595,0.118008286
E82121,5169,4249,4179,4107,3065,2170,4137,1032,0.19965177
E82123,10306,8480,8379,8272,5712,4153,8178,2128,0.206481661
E82124,24405,19534,19253,18973,13765,7759,20912,3493,0.143126409
E82126,92,77,76,74,53,37,78,14,0.152173913
E82129,14924,12240,12078,11903,8725,6022,12146,2778,0.186143125
E82130,10215,8195,8079,7969,5836,4274,8156,2059,0.201566324
E82131,2690,2283,2253,2229,1657,1221,2142,548,0.203717472
E82132,6600,5330,5269,5192,3733,2396,5481,1119,0.169545455
E82133,5590,4528,4462,4406,3182,2051,4606,984,0.176028623
E82603,8959,7317,7215,7120,5157,2416,7971,988,0.110280165
E82620,974,680,567,419,124,60,955,19,0.019507187
E82626,2805,2252,2215,2181,1630,1188,2266,539,0.192156863
E82638,6519,5084,5019,4937,3632,1805,5848,671,0.102929897
E82640,6505,5010,4937,4865,3533,1731,5822,683,0.104996157
E82641,6152,4819,4755,4702,3632,1908,5512,640,0.104031209
E82643,2499,2050,2019,1993,1461,1059,1990,509,0.203681473
E82644,2751,2004,1982,1955,1443,581,2567,184,0.066884769
E82652,2621,2082,2060,2036,1557,1006,2095,526,0.200686761
E82654,6591,5005,4929,4854,3738,1806,5795,796,0.120770748
E82655,3456,2803,2760,2714,1910,1134,2982,474,0.137152778
E82657,6276,5105,5026,4947,3377,2585,4882,1394,0.222115997
E82661,7965,6318,6231,6140,4454,2491,6833,1132,0.142121783
E83003,9141,7307,7200,7107,5258,3328,7616,1525,0.166830762
E83005,6348,5147,5097,5035,3771,1570,5703,645,0.101606805
E83006,6804,5531,5451,5382,3848,2007,5992,812,0.119341564
E83007,5856,4802,4734,4667,3390,1891,5019,837,0.142930328
E83008,8666,6724,6624,6522,4700,2826,7263,1403,0.161897069
E83009,11211,8791,8655,8513,6101,3686,9289,1922,0.171438765
E83010,11384,9378,9283,9177,6826,3763,9587,1797,0.157853127
E83011,8779,6699,6603,6481,4594,2031,8038,741,0.084405969
E83012,8483,6987,6912,6822,4998,3273,6853,1630,0.192149004
E83013,6060,5054,5009,4955,3690,2109,5026,1034,0.170627063
E83016,18640,14789,14518,14256,10236,6041,15782,2858,0.15332618
E83017,11439,9540,9402,9262,6725,4759,9270,2169,0.189614477
E83018,16506,13343,13167,13021,9593,5170,14189,2317,0.140373198
E83020,11833,9460,9359,9251,6441,3018,10402,1431,0.120932984
E83021,12323,10135,10003,9882,7126,4447,10114,2209,0.179258297
E83024,11158,9056,8917,8782,6377,4142,9114,2044,0.183186951
E83025,8950,7109,6984,6863,4840,2661,7744,1206,0.134748603
E83026,4386,3702,3655,3610,2679,1634,3564,822,0.187414501
E83027,8312,7108,7026,6962,4705,2449,7069,1243,0.14954283
E83028,6640,5015,4924,4837,3508,1667,6052,588,0.088554217
E83030,6752,5415,5335,5240,3578,2501,5435,1317,0.195053318
E83031,5275,4228,4174,4118,3034,1899,4371,904,0.171374408
E83032,18097,14104,13883,13655,9805,4398,16470,1627,0.089904404
E83034,5356,4394,4335,4268,3189,1884,4548,808,0.15085885
E83035,11900,9512,9359,9221,6895,3718,10225,1675,0.140756303
E83036,5857,4447,4355,4268,3093,1646,5135,722,0.123271299
E83037,5620,4583,4525,4462,3217,1893,4696,924,0.164412811
E83038,8470,7051,6972,6894,4824,2760,7143,1327,0.156670602
E83039,6130,5360,5325,5281,2852,1232,5545,585,0.0954323
E83041,4512,3772,3738,3701,2702,1242,4021,491,0.108820922
E83044,9434,7619,7515,7423,5471,3405,7830,1604,0.17002332
E83045,9502,7562,7422,7318,5458,2883,8265,1237,0.130183119
E83046,9680,7814,7701,7589,5480,2816,8570,1110,0.114669421
E83049,8399,6438,6352,6248,4696,2178,7450,949,0.112989642
E83050,8009,6642,6557,6474,4724,2528,6944,1065,0.132975403
E83053,13327,10330,10195,10056,7127,4187,11126,2201,0.165153448
E83600,6261,3886,3782,3701,2218,1125,5692,569,0.090880051
E83613,11614,9302,9162,9015,6549,4175,9716,1898,0.163423454
E83621,8534,7078,6956,6858,4922,3336,6970,1564,0.183266932
E83622,7630,5856,5761,5674,3974,2207,6462,1168,0.153079948
E83637,9682,7784,7701,7630,5305,1742,9016,666,0.068787441
E83638,5105,4205,4150,4086,3042,1951,4192,913,0.17884427
E83639,5987,4884,4845,4804,3567,1272,5479,508,0.084850509
E83649,3977,3326,3300,3258,2381,1114,3478,499,0.125471461
E83650,1895,1626,1610,1595,1138,889,1420,475,0.250659631
E83653,10310,7999,7900,7777,5444,2761,9037,1273,0.123472357
E83657,1865,1608,1589,1571,1144,683,1561,304,0.163002681
E83668,4259,3497,3443,3392,2566,1261,3833,426,0.10002348
E84002,6658,5479,5413,5326,3867,2379,5639,1019,0.153048964
E84003,8687,7221,7162,7086,4713,1989,7881,806,0.092782318
E84004,8729,7127,7001,6891,4890,3165,7269,1460,0.167258563
E84005,7300,6023,5916,5838,4042,2708,6028,1272,0.174246575
E84006,18001,14906,14699,14500,10631,6039,15567,2434,0.13521471
E84007,5511,4583,4534,4479,3127,2197,4260,1251,0.227000544
E84008,10818,8908,8805,8694,6219,4025,8899,1919,0.177389536
E84009,12529,10195,10048,9900,6871,4502,10325,2204,0.175911884
E84011,1932,1704,1690,1671,1320,797,1569,363,0.187888199
E84012,9191,7861,7787,7734,5745,2818,8081,1110,0.120770319
E84013,8025,6207,6087,5964,4129,2272,7158,867,0.108037383
E84014,8520,7049,6964,6874,4865,3092,6921,1599,0.187676056
E84015,16074,13078,12877,12684,9113,4980,14040,2034,0.126539754
E84017,8907,7433,7324,7215,5189,2925,7601,1306,0.146626249
E84018,7883,6559,6473,6393,4585,2941,6365,1518,0.192566282
E84020,6337,5347,5289,5236,3717,2102,5352,985,0.155436326
E84021,13489,11202,11083,10959,7838,3450,12242,1247,0.092445696
E84022,7409,6037,5945,5845,4155,2336,6442,967,0.130516939
E84024,20171,16235,16015,15797,11627,7703,16183,3988,0.197709583
E84025,23163,18830,18587,18356,14171,6383,20935,2228,0.096187886
E84028,7207,5930,5826,5745,4026,2324,6405,802,0.111280699
E84030,7268,5804,5692,5590,3854,2153,6423,845,0.116263071
E84031,9025,7145,7013,6859,4733,2724,8052,973,0.107811634
E84032,9009,7152,7044,6934,4834,2188,8160,849,0.094239094
E84033,7219,5443,5354,5261,3609,1362,6693,526,0.072863277
E84036,9317,7279,7171,7075,5130,2304,8511,806,0.086508533
E84039,13479,10856,10707,10570,7502,4133,11619,1860,0.137992433
E84040,4340,3618,3575,3531,2524,1384,3707,633,0.145852535
E84042,8180,6889,6802,6716,4815,2313,7335,845,0.103300733
E84044,10213,8292,8172,8059,5872,3125,8730,1483,0.145207089
E84048,8479,7059,6985,6899,5005,2706,7219,1260,0.14860243
E84049,5022,3823,3753,3681,2415,1231,4489,533,0.106133015
E84051,6194,5102,5025,4958,3591,1737,5492,702,0.113335486
E84053,3997,3400,3360,3316,2390,1801,3026,971,0.242932199
E84057,14520,11429,11085,10762,7237,4722,12169,2351,0.161914601
E84058,24012,18627,18350,18061,13064,5183,21952,2060,0.085790438
E84059,4362,3643,3602,3556,2578,1380,3677,685,0.157038056
E84061,11115,9312,9185,9076,6332,4803,8628,2487,0.223751687
E84062,5045,4018,3977,3916,2822,1498,4456,589,0.116749257
E84063,6953,5937,5892,5838,4641,1209,6560,393,0.056522364
E84066,14738,12304,12147,11997,8033,3527,13494,1244,0.084407654
E84067,9026,6973,6854,6749,5111,1953,8522,504,0.055838688
E84068,15814,12620,12443,12305,9125,5147,13297,2517,0.159162767
E84069,13325,10616,10465,10299,7313,3906,11653,1672,0.125478424
E84070,4520,3705,3656,3618,2716,1549,3769,751,0.166150442
E84074,6717,5590,5527,5455,4044,1986,6042,675,0.100491291
E84075,7812,6200,6139,6078,4118,1562,7228,584,0.074756784
E84076,6658,5398,5306,5221,3682,2113,5733,925,0.13893061
E84078,4717,3994,3946,3904,2880,1729,3948,769,0.163027348
E84080,9050,7512,7425,7350,5474,2533,8044,1006,0.111160221
E84083,6115,5126,5050,4983,3707,2044,5186,929,0.151921504
E84086,8108,6882,6799,6738,4956,2126,7319,789,0.097311297
E84601,7904,6582,6519,6446,4467,1974,6990,914,0.115637652
E84617,5205,4126,4085,4034,2958,1139,4759,446,0.08568684
E84620,7011,5579,5495,5409,3956,1698,6423,588,0.083868207
E84626,3178,2565,2531,2499,1776,872,2829,349,0.109817495
E84635,5380,4271,4214,4159,3108,1253,5001,379,0.070446097
E84637,4068,2928,2885,2839,2125,756,3877,191,0.046951819
E84638,5949,4848,4753,4664,3204,1601,5329,620,0.104219197
E84645,7702,6214,6140,6062,4207,1851,7042,660,0.085692028
E84646,7561,5670,5603,5559,3805,1093,7205,356,0.047083719
E84647,3450,2857,2829,2793,2011,1186,2849,601,0.174202899
E84653,2993,2364,2327,2299,1648,666,2772,221,0.073838958
E84656,4303,3519,3478,3432,2516,1171,3871,432,0.100395073
E84658,5372,4273,4206,4148,2969,1718,4539,833,0.155063291
E84663,7574,6352,6302,6262,4180,1749,6713,861,0.113678373
E84665,9920,8095,7989,7886,5853,2706,8941,979,0.098689516
E84674,5780,4971,4927,4880,3840,1523,5268,512,0.088581315
E84676,3664,2943,2875,2811,2042,1106,3252,412,0.112445415
E84678,4314,3610,3575,3542,2623,1261,3766,548,0.12702828
E84680,4109,3265,3233,3199,2476,1063,3630,479,0.116573376
E84681,3634,2959,2926,2901,2098,850,3327,307,0.084479912
E84684,3936,3194,3156,3115,2227,1151,3432,504,0.12804878
E84685,8804,7037,6934,6835,4922,2682,7628,1176,0.133575647
E84693,8227,6514,6420,6343,4906,2217,7485,742,0.090190835
E84696,1134,968,950,930,720,337,1046,88,0.077601411
E84699,3588,2992,2954,2922,2113,1094,3112,476,0.132664437
E84701,4836,3921,3858,3794,2729,1115,4465,371,0.076716294
E84702,5603,4836,4799,4757,3022,1346,5121,482,0.086025344
E84704,2282,1835,1797,1761,1201,745,1989,293,0.128396144
E84709,12457,10441,10338,10219,6849,2789,11377,1080,0.086698242
E84713,4349,3572,3520,3481,2448,1450,3592,757,0.174063003
E85001,8750,7120,7064,6978,5145,2712,7506,1244,0.142171429
E85003,19515,17201,17074,16962,12383,4213,18043,1472,0.075429157
E85004,6982,5617,5564,5483,4107,2141,6052,930,0.133199656
E85005,3616,3123,3086,3045,2068,966,3223,393,0.108683628
E85006,4860,3814,3736,3661,2582,1150,4496,364,0.074897119
E85007,13052,10665,10506,10345,7748,4308,11255,1797,0.137680049
E85008,7890,6744,6681,6618,4708,2611,6656,1234,0.156400507
E85012,5065,4196,4138,4083,2943,1794,4231,834,0.164659427
E85013,4456,3531,3475,3422,2551,1194,4018,438,0.098294434
E85014,9421,7684,7597,7523,5866,3087,8111,1310,0.139051056
E85015,7819,6647,6582,6513,4798,2507,6626,1193,0.152577056
E85016,10463,8630,8516,8417,6237,3205,9188,1275,0.121857976
E85018,1961,1633,1610,1590,1186,649,1656,305,0.155532891
E85019,8973,7323,7229,7134,5049,2567,7847,1126,0.125487574
E85020,15280,12875,12781,12687,9515,3573,13825,1455,0.095222513
E85021,7006,5476,5372,5269,3739,1994,6289,717,0.102340851
E85023,2647,2219,2189,2168,1573,910,2210,437,0.165092558
E85024,5318,4292,4207,4144,2956,1730,4573,745,0.140090259
E85025,8541,7623,7583,7545,4525,1389,7985,556,0.065097764
E85026,13880,11559,11442,11327,8299,3987,12048,1832,0.131988473
E85028,8906,7518,7428,7321,5338,2663,7852,1054,0.118347182
E85029,13357,11819,11721,11611,8448,3357,12065,1292,0.096728307
E85030,7444,6247,6184,6122,4718,2131,6587,857,0.115126276
E85032,5020,4283,4252,4201,3071,1558,4350,670,0.133466135
E85033,11170,9744,9651,9568,6616,2854,9958,1212,0.108504924
E85034,6213,5229,5165,5128,3599,1947,5279,934,0.150329953
E85035,5450,4310,4256,4210,3090,1567,4750,700,0.128440367
E85038,5343,4514,4478,4447,3168,1385,4729,614,0.114916713
E85040,9813,8311,8226,8126,5983,3709,7937,1876,0.191174972
E85041,5732,4644,4585,4519,3444,1737,5018,714,0.124563852
E85042,5629,4798,4766,4716,3409,1362,5092,537,0.095398828
E85045,3760,3142,3102,3057,2198,1408,3116,644,0.171276596
E85046,5780,4621,4550,4493,3273,1856,4977,803,0.138927336
E85048,7507,6132,6055,5992,3927,1484,7008,499,0.066471293
E85049,7879,6278,6186,6113,4473,1873,7175,704,0.089351441
E85050,7947,6589,6511,6427,4693,2428,6945,1002,0.126085315
E85051,6069,4918,4839,4749,3388,1980,5212,857,0.141209425
E85052,7246,5936,5865,5778,4205,1999,6436,810,0.111785813
E85053,3896,3150,3104,3056,2201,1235,3389,507,0.13013347
E85054,11007,9014,8900,8767,6424,3323,9567,1440,0.130825838
E85055,12470,11064,10975,10895,7891,3217,11253,1217,0.097594226
E85056,7909,6188,6100,6010,4460,2244,7032,877,0.110886332
E85057,9952,8067,7956,7836,5836,3618,8220,1732,0.17403537
E85058,7922,6425,6340,6247,4572,2512,6775,1147,0.14478667
E85059,9050,7351,7252,7155,5502,2498,7953,1097,0.12121547
E85060,6260,5057,4995,4928,3655,1862,5507,753,0.12028754
E85061,4158,3333,3279,3235,2275,1202,3661,497,0.11952862
E85062,13587,10803,10686,10586,8147,1788,12983,604,0.044454258
E85064,4482,3516,3454,3408,2440,1400,3975,507,0.113119143
E85066,3587,2879,2850,2812,2236,1234,3032,555,0.154725397
E85069,4616,3639,3579,3518,2562,1278,4100,516,0.111785095
E85071,1671,1429,1413,1396,977,748,1313,358,0.214242968
E85074,4546,4034,4006,3978,2877,1169,4093,453,0.099648042
E85075,4484,3634,3601,3572,2838,1211,4013,471,0.105040143
E85077,3479,3107,3081,3057,2146,1037,3067,412,0.118424835
E85083,6259,4724,4629,4553,3447,1498,5743,516,0.082441285
E85088,4658,3684,3633,3577,2628,1268,4142,516,0.110777158
E85090,4374,3712,3686,3641,2726,1310,3822,552,0.126200274
E85091,1620,1417,1403,1393,1095,482,1444,176,0.108641975
E85096,8218,6742,6652,6562,5190,1948,7512,706,0.08590898
E85098,4749,3602,3545,3485,2555,1112,4333,416,0.087597389
E85099,4159,3458,3432,3402,2489,1021,3764,395,0.094974754
E85103,3857,3325,3281,3241,2429,1414,3186,671,0.173969406
E85105,1761,1448,1432,1411,1062,601,1490,271,0.153889835
E85107,7609,5981,5895,5815,4334,1993,6853,756,0.099356026
E85108,4935,3923,3859,3794,2778,1443,4328,607,0.122998987
E85109,3480,2836,2794,2759,1956,852,3164,316,0.090804598
E85111,5066,4052,3994,3942,2903,1369,4519,547,0.107974734
E85112,5526,4471,4413,4356,3228,1600,4849,677,0.122511763
E85113,7289,5910,5827,5743,4309,2198,6409,880,0.120729867
E85114,7787,6232,6140,6057,4378,2538,6685,1102,0.141517914
E85115,3292,2649,2616,2590,1898,1117,2769,523,0.158869988
E85116,6151,4839,4764,4684,3512,1680,5511,640,0.104048122
E85118,6912,5906,5852,5793,4091,2008,6078,834,0.120659722
E85119,9966,8144,8043,7939,5985,2558,9039,927,0.093016255
E85120,8349,6692,6607,6518,4969,2533,7334,1015,0.121571446
E85121,12352,10088,9958,9859,7562,3285,11160,1192,0.096502591
E85122,16068,13556,13432,13305,9560,4098,14448,1620,0.100821509
E85123,8000,6672,6622,6567,4975,1884,7270,730,0.09125
E85124,78548,77541,77491,77412,35883,2626,78105,443,0.005639864
E85125,4812,3999,3951,3904,2866,1461,4301,511,0.106192851
E85126,8219,6752,6675,6591,4834,2192,7297,922,0.112179097
E85127,9611,7737,7615,7484,5496,2800,8509,1102,0.114660285
E85128,11931,9750,9631,9522,6720,2946,10744,1187,0.099488727
E85129,6008,5040,4990,4923,3602,2043,5136,872,0.145139814
E85130,4698,3923,3885,3850,2957,1390,4190,508,0.10813112
E85600,5147,4098,4047,3990,2975,1453,4517,630,0.122401399
E85605,9013,7318,7233,7151,5264,2608,7888,1125,0.124819705
E85617,3469,3113,3085,3057,2025,719,3218,251,0.072355146
E85623,2074,1740,1725,1705,1265,512,1880,194,0.093539055
E85624,6933,5802,5723,5650,4078,2024,6112,821,0.118419155
E85625,3994,3253,3227,3183,2550,1043,3638,356,0.089133701
E85628,9002,7074,6972,6862,5309,2755,8003,999,0.110975339
E85630,3326,2812,2775,2732,1783,736,3037,289,0.086891161
E85633,7278,5906,5829,5737,4359,1927,6591,687,0.094394064
E85635,6166,5001,4948,4889,3538,1339,5644,522,0.084657801
E85636,10786,8778,8678,8564,6125,2961,9723,1063,0.098553681
E85640,3541,3108,3087,3069,2205,903,3169,372,0.105055069
E85643,5836,4409,4299,4221,3204,1374,5356,480,0.082248115
E85649,2833,2608,2591,2582,1575,506,2627,206,0.072714437
E85656,4226,3396,3347,3302,2356,1143,3770,456,0.107903455
E85657,10485,8560,8491,8414,6379,2409,9601,884,0.08431092
E85658,4089,3581,3557,3539,2752,1424,3439,650,0.158963072
E85659,1890,1566,1543,1524,1065,482,1710,180,0.095238095
E85663,10294,8421,8313,8224,6235,2442,9464,830,0.080629493
E85672,1146,1033,1028,1023,747,419,962,184,0.160558464
E85677,5293,4445,4407,4371,3161,979,4964,329,0.062157567
E85680,10798,9205,9127,9054,4966,1820,10047,751,0.069549917
E85681,8711,6638,6536,6416,4747,1971,7941,770,0.088393985
E85682,7054,5394,5293,5188,3674,1796,6422,632,0.089594556
E85683,4436,3662,3607,3551,2758,1633,3880,556,0.125338142
E85685,9597,7957,7855,7782,5482,2838,8296,1301,0.135563197
E85687,1878,1657,1647,1634,1185,357,1761,117,0.062300319
E85692,7836,6489,6428,6367,5027,2251,7023,813,0.103751914
E85693,8206,6672,6588,6492,4871,2802,7043,1163,0.141725567
E85694,3686,2924,2879,2832,2060,1018,3256,430,0.116657623
E85696,9361,8028,7968,7897,6268,1965,8803,558,0.059609016
E85697,5785,4433,4359,4289,3190,1494,5266,519,0.08971478
E85699,6064,4755,4685,4618,3259,1859,5269,795,0.131101583
E85707,4932,4156,4106,4057,2955,1783,4115,817,0.165652879
E85708,6330,5051,4990,4922,3690,1666,5744,586,0.092575039
E85712,7773,5749,5653,5533,4084,1593,7223,550,0.070757751
E85713,4544,3736,3691,3654,2707,1227,4008,536,0.117957746
E85714,3363,2765,2724,2697,2040,1105,2857,506,0.150460898
E85715,4709,3453,3396,3340,2517,966,4361,348,0.073901041
E85716,11555,9292,9174,9065,6698,2620,10648,907,0.078494158
E85718,4776,3927,3872,3813,2845,1355,4268,508,0.106365159
E85719,11972,9281,9138,9051,6857,2471,11100,872,0.072836619
E85721,2089,1576,1541,1503,1174,451,1992,97,0.0464337
E85723,4553,3486,3414,3354,2463,1139,4150,403,0.088513068
E85725,7131,5782,5704,5625,4159,2004,6373,758,0.106296452
E85726,3130,2677,2651,2635,1951,983,2693,437,0.139616613
E85734,5842,4577,4490,4417,3245,1543,5297,545,0.093289969
E85735,4218,3366,3334,3303,2492,1107,3773,445,0.105500237
E85736,6467,4998,4926,4841,3485,1929,5728,739,0.11427246
E85739,9006,6889,6781,6686,4871,2213,8126,880,0.097712636
E85740,2354,1894,1855,1824,1322,577,2135,219,0.093033135
E85743,3042,2412,2368,2320,1680,830,2768,274,0.090072321
E85744,11176,8643,8494,8361,6380,2405,10371,805,0.072029349
E85745,6755,5407,5302,5218,3914,1980,6004,751,0.111176906
E85746,4234,3324,3287,3238,2565,946,3949,285,0.067312234
E85748,6532,5297,5215,5139,3887,1159,6222,310,0.047458665
E85750,7410,5956,5871,5796,4491,1949,6586,824,0.11120108
E86001,11964,9939,9798,9662,7103,4988,9448,2516,0.210297559
E86003,4693,3488,3419,3365,2430,1100,4299,394,0.083954826
E86004,10990,8623,8500,8402,6147,3136,9750,1240,0.112829845
E86005,7045,5627,5556,5476,3949,2537,5829,1216,0.172604684
E86006,8180,6707,6638,6553,4726,3127,6583,1597,0.195232274
E86007,9361,7689,7563,7449,5392,3727,7600,1761,0.188120927
E86009,8231,6572,6493,6417,4630,2466,7053,1178,0.143117483
E86010,13398,10064,9914,9778,7259,2800,12349,1049,0.078295268
E86011,6169,4887,4820,4759,3419,2187,5134,1035,0.167774356
E86012,11598,9628,9499,9399,6653,4813,9206,2392,0.206242456
E86014,5344,4155,4100,4046,3100,1594,4707,637,0.119199102
E86015,16389,13487,13328,13150,9644,5495,13922,2467,0.150527793
E86016,6042,4844,4743,4643,3251,1848,5276,766,0.126779212
E86017,15216,12153,11997,11850,8433,3405,13957,1259,0.082741851
E86018,8877,6971,6852,6732,4755,2701,7690,1187,0.133716346
E86019,7132,5701,5596,5496,3906,2373,6035,1097,0.153813797
E86020,5252,4037,3972,3913,2829,1447,4684,568,0.108149276
E86022,6556,5517,5455,5374,3771,2829,5157,1399,0.213392312
E86024,4907,4118,4046,3978,2785,2149,3876,1031,0.210108009
E86026,6685,5291,5209,5134,3717,2071,5847,838,0.125355273
E86027,7324,5699,5623,5546,3972,2161,6382,942,0.128618241
E86028,8410,6854,6756,6681,4849,3378,6671,1739,0.206777646
E86029,10745,8237,8083,7923,5610,3101,9544,1201,0.111772918
E86030,11792,11208,11181,11144,3202,699,11531,261,0.02213365
E86033,6167,4995,4944,4880,3612,2265,5039,1128,0.182909032
E86034,2559,2043,2017,1999,1475,903,2187,372,0.145369285
E86036,7651,6166,6093,6022,4366,2908,6252,1399,0.182851915
E86038,6661,5366,5292,5240,4027,1779,6092,569,0.085422609
E86041,5315,4168,4106,4058,2973,1624,4521,794,0.149388523
E86042,6800,5246,5159,5078,3732,1651,6221,579,0.085147059
E86605,2338,1957,1932,1909,1410,943,1909,429,0.183490163
E86609,3811,2948,2906,2866,2093,829,3524,287,0.075308318
E86610,3467,2722,2686,2651,1964,1073,3105,362,0.104413037
E86612,3908,3032,2981,2933,2224,932,3596,312,0.079836233
E86615,2646,2103,2076,2040,1494,784,2330,316,0.119425548
E86618,7272,5833,5758,5703,4208,2500,6052,1220,0.167766777
E86619,3107,2387,2372,2333,1789,1002,2643,464,0.1493402
E86620,4815,3642,3588,3527,2633,1152,4359,456,0.09470405
E86625,3255,2526,2481,2426,1762,874,2902,353,0.108448541
E86626,6585,5253,5177,5093,3852,2158,5829,756,0.114806378
E86629,3625,2857,2818,2781,2054,1058,3153,472,0.130206897
E86632,6268,4937,4852,4771,3526,1771,5670,598,0.095405233
E86637,5847,4757,4684,4603,3428,1814,5180,667,0.114075594
E86640,4614,3538,3492,3457,2664,1422,3894,720,0.156046814
E87002,16479,14511,14435,14341,10385,5057,14261,2218,0.134595546
E87003,4863,4174,4135,4087,3083,1698,4184,679,0.139625745
E87004,10096,8747,8661,8590,6829,3795,8506,1590,0.157488114
E87005,7669,6797,6757,6716,5084,3035,6392,1277,0.166514539
E87006,4862,4188,4156,4111,3027,1463,4284,578,0.118881119
E87007,8419,7277,7220,7165,5734,2423,7599,820,0.097398741
E87008,9584,8192,8088,7976,5491,2676,8452,1132,0.118113523
E87009,4062,3623,3582,3556,2636,1524,3362,700,0.172328902
E87010,6735,5979,5952,5915,4672,1913,6002,733,0.108834447
E87011,7295,6102,6017,5930,4181,2274,6268,1027,0.140781357
E87013,12864,10873,10769,10682,7788,4245,10885,1979,0.153840174
E87016,9444,7940,7846,7766,5889,3628,7741,1703,0.180326133
E87021,3879,3351,3316,3278,2462,1558,3232,647,0.166795566
E87024,5297,4334,4262,4189,2932,1761,4644,653,0.123277327
E87026,2843,2470,2438,2415,1750,1085,2357,486,0.170946184
E87029,9022,7299,7216,7136,5318,2996,7773,1249,0.13843937
E87034,14266,12453,12314,12156,8501,4196,12541,1725,0.120916865
