PRACTICE_CODE,Percent_male,Total,AgeAll,AgeMale,AgeFemale,16+,17+,18+,30_74,50+,0_64,65+,16perc,17perc,18perc,30_74perc,50perc,0_64perc,65perc,QOF
G82665,0.485679952,4993,51.34708592,50.46721649,52.1779595,4374,4344,4303,3007,3012,3105,1888,0.876026437,0.870018025,0.861806529,0.60224314,0.603244542,0.621870619,0.378129381,Yes
M82008,0.486156352,7368,52.55713898,51.24399777,53.79952456,6567,6489,6417,4321,4606,4594,2774,0.891286645,0.880700326,0.870928339,0.58645494,0.625135722,0.623507058,0.376492942,Yes
B83620,0.480261011,3065,51.7096248,50.13519022,53.16446955,2671,2649,2629,1857,1858,1914,1151,0.871451876,0.864274062,0.857748777,0.605872757,0.606199021,0.624469821,0.375530179,Yes
J84016,0.484226093,6086,52.05060795,51.35391924,52.70468302,5383,5324,5260,3796,3793,3810,2276,0.884488991,0.874794611,0.864278672,0.623726586,0.623233651,0.626026947,0.373973053,Yes
L83148,0.487417219,3775,51.33986755,50.38804348,52.24496124,3268,3233,3200,2262,2271,2367,1408,0.865695364,0.856423841,0.847682119,0.599205298,0.601589404,0.627019868,0.372980132,Yes
J83629,0.491370558,1970,51.58527919,51.77892562,51.39820359,1724,1710,1691,1202,1189,1238,732,0.875126904,0.868020305,0.858375635,0.610152284,0.603553299,0.628426396,0.371573604,Yes
J81609,0.493920473,3043,51.84521853,51.16899534,52.50519481,2696,2666,2641,1901,1901,1913,1130,0.885967795,0.876109103,0.867893526,0.624712455,0.624712455,0.628655932,0.371344068,Yes
C83634,0.486665035,4087,50.83386347,50.18149824,51.45233556,3508,3482,3449,2253,2384,2570,1517,0.858331294,0.85196966,0.843895278,0.551260093,0.583312943,0.628823098,0.371176902,Yes
J81074,0.4859035,5285,51.72677389,50.57476636,52.81560545,4648,4602,4558,3153,3258,3332,1953,0.879470199,0.87076632,0.86244087,0.596594134,0.616461684,0.630463576,0.369536424,Yes
F81681,0.487760417,15360,50.52070313,49.31086492,51.67272496,13329,13171,13047,8803,8892,9686,5674,0.867773438,0.857486979,0.849414063,0.573111979,0.57890625,0.630598958,0.369401042,Yes
D82053,0.488703511,5754,51.40371915,50.29836415,52.46023114,5050,5014,4967,3410,3482,3633,2121,0.87765033,0.871393813,0.863225582,0.592631213,0.605144247,0.631386861,0.368613139,Yes
J82139,0.47689276,15731,50.70631238,49.42055452,51.87847855,13579,13450,13338,8979,9072,10002,5729,0.863200051,0.854999682,0.847879982,0.570783803,0.576695696,0.635814634,0.364185366,Yes
J81029,0.475937721,5652,51.32448691,50.08921933,52.44632005,4968,4914,4865,3233,3322,3594,2058,0.878980892,0.869426752,0.860757254,0.572009908,0.587756546,0.635881104,0.364118896,Yes
D82001,0.482766065,13897,50.77541916,49.77478015,51.70937674,12110,11993,11880,8065,8131,8841,5056,0.871411096,0.862992013,0.854860761,0.580341081,0.585090307,0.636180471,0.363819529,Yes
P81087,0.495728033,11119,50.61992985,49.55732946,51.66452648,9683,9571,9477,6565,6514,7101,4018,0.870851695,0.860778847,0.852324849,0.590430794,0.585844051,0.638636568,0.361363432,Yes
