PRACTICE_CODE,Percent_male,Total,AgeAll,AgeMale,AgeFemale,16+,17+,18+,30_74,50+,0_64,65+,16perc,17perc,18perc,30_74perc,50perc,0_64perc,65perc,QOF
B82011,0.508387097,5425,44.2040553,43.73060189,44.69366329,4512,4457,4416,3289,2579,4199,1226,0.831705069,0.82156682,0.814009217,0.606267281,0.475391705,0.774009217,0.225990783,Yes
C88647,0.51676795,4443,44.76704929,43.77526132,45.82766651,3820,3774,3735,2719,2084,3439,1004,0.859779428,0.849426063,0.840648211,0.611973892,0.469052442,0.774026559,0.225973441,Yes
L83073,0.48256975,17527,42.96405546,42.12579806,43.74583747,14468,14301,14144,9873,7413,13567,3960,0.825469276,0.815941119,0.806983511,0.563302334,0.422947453,0.774062874,0.225937126,Yes
B86101,0.507216495,3395,43.36053019,43.01916376,43.7118948,2824,2804,2770,1987,1431,2628,767,0.831811487,0.825920471,0.815905744,0.585272459,0.421502209,0.774079529,0.225920471,Yes
Y00446,0.494165878,3171,45.09839167,43.59731972,46.56483791,2719,2686,2638,1856,1489,2455,716,0.857458215,0.847051403,0.831914223,0.58530432,0.46956796,0.774203721,0.225796279,Yes
J83603,0.495945369,4686,44.66154503,44.62048193,44.7019475,3901,3836,3783,2833,2288,3628,1058,0.832479727,0.818608621,0.807298335,0.604566795,0.488262911,0.774221084,0.225778916,Yes
C83041,0.49025974,8008,42.44917582,41.62684666,43.24007839,6605,6515,6420,4429,3303,6200,1808,0.8248002,0.813561439,0.801698302,0.553071928,0.412462537,0.774225774,0.225774226,Yes
D81030,0.505754418,11035,44.01205256,42.8376635,45.21378805,9205,9109,9007,6482,4864,8544,2491,0.834164024,0.825464431,0.816221115,0.587403715,0.440779338,0.774263706,0.225736294,Yes
C84044,0.489129384,10349,42.47589139,41.20327934,43.69434462,8264,8155,8061,5793,4290,8013,2336,0.798531259,0.78799884,0.778915837,0.559764228,0.414532805,0.774277708,0.225722292,Yes
L84075,0.491566265,4980,43.47891566,42.58660131,44.34162717,4095,4039,3988,2818,2151,3856,1124,0.822289157,0.811044177,0.800803213,0.565863454,0.431927711,0.774297189,0.225702811,Yes
A85007,0.47903384,8156,43.92263364,42.4630151,45.26476818,6791,6727,6665,4833,3616,6316,1840,0.832638548,0.824791564,0.817189799,0.592569887,0.443354586,0.774399215,0.225600785,Yes
F81038,0.482134948,13546,43.40292337,42.46164446,44.27925873,11263,11115,10974,7807,5825,10491,3055,0.831463163,0.820537428,0.810128451,0.576332497,0.430016241,0.774472169,0.225527831,Yes
M83037,0.497808391,7985,43.69843456,43.05232704,44.33890274,6572,6500,6430,4690,3549,6185,1800,0.823043206,0.814026299,0.805259862,0.587351284,0.444458359,0.774577332,0.225422668,Yes
A88601,0.514106583,3509,44.79110858,43.81042129,45.828739,3034,3016,2999,2177,1583,2718,791,0.864633799,0.859504132,0.854659447,0.620404674,0.451125677,0.774579652,0.225420348,Yes
B82012,0.4816705,13912,43.87126222,42.77809282,44.8871169,11269,11086,10905,7976,6245,10776,3136,0.810020127,0.796866015,0.783855664,0.573317999,0.448893042,0.774583094,0.225416906,Yes
L84028,0.493825572,7774,42.66143555,41.35660328,43.93443456,6375,6286,6201,4466,3337,6022,1752,0.820041163,0.808592745,0.797658863,0.574479033,0.429251351,0.774633393,0.225366607,Yes
P81072,0.484782321,15114,43.87197301,42.62099086,45.04905612,12669,12495,12368,8749,6728,11708,3406,0.838229456,0.826716951,0.818314146,0.578867275,0.445150192,0.774646024,0.225353976,Yes
L82024,0.515879828,4660,43.78304721,42.78826955,44.84308511,3918,3876,3844,2833,2049,3610,1050,0.840772532,0.831759657,0.824892704,0.607939914,0.439699571,0.774678112,0.225321888,Yes
D81047,0.493986694,7816,43.94651996,43.55270655,44.33097345,6384,6287,6180,4638,3679,6055,1761,0.81678608,0.80437564,0.790685773,0.593398158,0.470701126,0.774692938,0.225307062,Yes
G82158,0.49537037,4968,44.02536232,43.5339293,44.50777822,4100,4037,3978,2928,2295,3849,1119,0.825281804,0.812600644,0.800724638,0.589371981,0.461956522,0.774758454,0.225241546,Yes
A84037,0.495158598,5990,44.21719533,43.24308833,45.17261905,5109,5050,4996,3613,2726,4641,1349,0.852921536,0.843071786,0.834056761,0.603171953,0.45509182,0.774791319,0.225208681,Yes
C82064,0.491651835,11799,43.52309518,42.99637993,44.03251084,9919,9782,9674,6925,5123,9142,2657,0.840664463,0.82905331,0.819899992,0.586914145,0.434189338,0.774811425,0.225188575,Yes
J83618,0.493360277,3464,44.72026559,43.71737858,45.6968661,2868,2822,2776,2092,1668,2684,780,0.827944573,0.814665127,0.801385681,0.603926097,0.481524249,0.77482679,0.22517321,Yes
M82047,0.479526227,8865,43.59492386,42.2439426,44.83961855,7365,7292,7208,5158,3940,6869,1996,0.830795262,0.822560632,0.813085166,0.581838691,0.444444444,0.774844896,0.225155104,Yes
L84077,0.488512949,4788,44.50877193,43.19410004,45.76439363,4026,3969,3923,2794,2216,3710,1078,0.84085213,0.828947368,0.819340017,0.583542189,0.462823726,0.774853801,0.225146199,Yes
C84140,0.50571091,5078,44.29243797,42.79595016,45.82350598,4311,4260,4208,3045,2356,3935,1143,0.848956282,0.838912958,0.828672706,0.59964553,0.46396219,0.774911382,0.225088618,Yes
M82048,0.49677526,6047,43.04531172,42.28095872,43.79986855,4952,4891,4821,3434,2597,4686,1361,0.818918472,0.808830825,0.797254837,0.567884902,0.429469158,0.774929717,0.225070283,Yes
M83632,0.496108517,4497,43.29086057,42.4634693,44.1054722,3672,3625,3574,2624,1960,3485,1012,0.816544363,0.806092951,0.794752057,0.583500111,0.43584612,0.774961085,0.225038915,Yes
L83052,0.491793272,14744,43.04618828,42.07405875,43.98692113,12131,11960,11789,8313,6387,11428,3316,0.822775366,0.811177428,0.79957949,0.563822572,0.433193163,0.775094954,0.224905046,Yes
D83023,0.502231619,12771,42.31876909,41.2265357,43.42079597,10503,10355,10222,7007,5264,9899,2872,0.822410148,0.810821392,0.800407173,0.548664944,0.412183854,0.775115496,0.224884504,Yes
Y00399,0.509655341,4091,43.57907602,42.82925659,44.35842473,3399,3351,3309,2438,1775,3171,920,0.830848203,0.819115131,0.808848692,0.595942312,0.433879247,0.775116109,0.224883891,Yes
C82007,0.509432049,9860,44.2510142,43.7401951,44.78147612,8326,8225,8138,5991,4492,7643,2217,0.844421907,0.834178499,0.82535497,0.607606491,0.455578093,0.77515213,0.22484787,Yes
A81053,0.51146467,6411,42.5595071,41.84232998,43.31034483,5237,5170,5117,3612,2768,4970,1441,0.816877242,0.806426455,0.798159414,0.563406645,0.431757916,0.775230073,0.224769927,Yes
B81085,0.485805763,4685,44.29434365,43.28119508,45.25155666,3949,3911,3858,2754,2144,3632,1053,0.842902882,0.834791889,0.823479189,0.587833511,0.457630736,0.775240128,0.224759872,Yes
E82027,0.482505778,12547,43.42926596,42.64601916,44.15955645,10546,10412,10270,6865,5292,9727,2820,0.840519646,0.829839802,0.818522356,0.547142743,0.421774129,0.775245079,0.224754921,Yes
B87002,0.489236791,11242,43.94876357,42.75090909,45.09613375,9405,9266,9164,6710,4995,8716,2526,0.836594912,0.824230564,0.815157445,0.596868885,0.444315958,0.775306885,0.224693115,Yes
G82125,0.486694102,10935,42.96854138,41.69597896,44.17512916,8721,8585,8460,6099,4721,8478,2457,0.797530864,0.785093736,0.773662551,0.557750343,0.431732968,0.775308642,0.224691358,Yes
J83006,0.498668136,10887,43.93919353,42.88285135,44.98992305,9053,8912,8797,6341,4930,8441,2446,0.831542206,0.81859098,0.808027923,0.58243777,0.452833655,0.775328373,0.224671627,Yes
G83004,0.476778285,14663,42.61529019,41.28708339,43.82559958,11926,11756,11608,8213,6139,11369,3294,0.813339699,0.801745891,0.791652459,0.560117302,0.41867285,0.775352929,0.224647071,Yes
P81074,0.493497808,13457,43.99777068,43.39903629,44.58113263,11381,11226,11095,7910,6108,10435,3022,0.845730846,0.834212677,0.824477967,0.587798172,0.453890169,0.77543286,0.22456714,Yes
M84007,0.496584591,12590,42.94177919,41.9793666,43.89113285,10378,10249,10119,7234,5361,9763,2827,0.824305004,0.814058777,0.803733122,0.574583002,0.425814138,0.775456712,0.224543288,Yes
C81064,0.492586891,12343,43.23397877,41.61578947,44.80488584,10184,10053,9934,6871,5108,9572,2771,0.825083043,0.81446974,0.804828648,0.556671798,0.413837803,0.775500284,0.224499716,Yes
K84065,0.511644319,2834,44.88285109,44.46068966,45.32514451,2392,2344,2288,1733,1405,2198,636,0.844036697,0.827099506,0.80733945,0.611503176,0.495765702,0.775582216,0.224417784,Yes
B82067,0.487458082,7455,43.45365526,42.50055036,44.36011515,6138,6050,5966,4361,3320,5782,1673,0.82334004,0.811535882,0.800268276,0.584976526,0.445338699,0.775586854,0.224413146,Yes
B81023,0.500163934,6100,43.22934426,42.82137004,43.63758609,5014,4941,4887,3460,2645,4732,1368,0.821967213,0.81,0.801147541,0.567213115,0.433606557,0.775737705,0.224262295,Yes
J82094,0.497413307,19523,43.79209138,43.10410874,44.47299225,16217,16009,15808,11628,8862,15145,4378,0.830661271,0.820007171,0.809711622,0.595605184,0.453926138,0.775751678,0.224248322,Yes
N81111,0.498098859,6312,43.40684411,42.26017812,44.54482323,5210,5165,5112,3672,2807,4897,1415,0.825411914,0.818282636,0.809885932,0.581749049,0.444708492,0.775823828,0.224176172,Yes
N81059,0.485984328,12379,44.0846595,43.02260638,45.08879459,10226,10073,9909,7091,5703,9604,2775,0.82607642,0.813716778,0.800468535,0.572824945,0.460699572,0.775830035,0.224169965,Yes
F82675,0.484467059,3734,44.18130691,42.88723051,45.3974026,3183,3127,3097,2114,1666,2897,837,0.852437065,0.837439743,0.829405463,0.566148902,0.446170327,0.775843599,0.224156401,Yes
J81045,0.49195597,10629,43.00724433,41.47083572,44.495,8765,8644,8532,5930,4569,8247,2382,0.824630727,0.813246778,0.802709568,0.557907611,0.429861699,0.775896133,0.224103867,Yes
P81681,0.505222815,13307,43.38085218,42.46095493,44.32017011,11089,10954,10837,7636,5825,10325,2982,0.833320809,0.823175772,0.814383407,0.573833321,0.437739536,0.775907417,0.224092583,Yes
K84003,0.492637216,5976,44.5896921,43.98980978,45.17216359,5004,4941,4874,3625,2861,4637,1339,0.837349398,0.826807229,0.815595716,0.606593039,0.478748327,0.775937082,0.224062918,Yes
P81018,0.486439499,8628,44.01298099,43.40862521,44.5854209,7218,7100,7002,5099,3881,6695,1933,0.836578581,0.822902179,0.811543811,0.590982847,0.449814557,0.775961984,0.224038016,Yes
C82017,0.500482359,14512,43.71161797,42.96062233,44.46406401,12048,11887,11734,8731,6591,11261,3251,0.830209482,0.819115215,0.808572216,0.601640022,0.454175854,0.775978501,0.224021499,Yes
C87002,0.495012289,20751,42.94091851,42.00301791,43.86029201,17104,16871,16658,11856,9056,16103,4648,0.824249434,0.813021059,0.802756494,0.571345959,0.436412703,0.776010795,0.223989205,Yes
P92034,0.494198312,5688,43.81135724,42.20384205,45.38199513,4773,4706,4651,3292,2601,4414,1274,0.839135021,0.827355837,0.817686357,0.578762307,0.457278481,0.776019691,0.223980309,Yes
D81049,0.488936129,10349,42.57039327,42.01916996,43.09775005,8444,8331,8235,5960,4251,8032,2317,0.815924244,0.805005315,0.795729056,0.575901053,0.410764325,0.776113634,0.223886366,Yes
G82126,0.48655829,15809,43.2953381,42.11323453,44.41554762,13091,12914,12748,9225,6901,12270,3539,0.828072617,0.816876463,0.806376115,0.58352837,0.436523499,0.776140173,0.223859827,Yes
P86003,0.489772063,11977,43.55790265,42.40180702,44.6676485,9921,9761,9647,6823,5378,9296,2681,0.828337647,0.814978709,0.805460466,0.569675211,0.449027302,0.776154296,0.223845704,Yes
D82003,0.496932272,25263,42.66203539,41.92592003,43.38917303,20824,20517,20239,13913,10705,19609,5654,0.824288485,0.812136326,0.80113209,0.550726359,0.423742232,0.776194435,0.223805565,Yes
F81149,0.507487676,10751,43.85619942,42.95491202,44.78489141,8872,8759,8639,6371,4807,8345,2406,0.82522556,0.81471491,0.803553158,0.592596038,0.447121198,0.776206864,0.223793136,Yes
E84061,0.479532164,11115,43.68744939,42.51238274,44.77009507,9312,9185,9076,6332,4803,8628,2487,0.837786775,0.826360774,0.816554206,0.569680612,0.432118758,0.776248313,0.223751687,Yes
A88003,0.472167792,13779,42.99753248,41.53888718,44.30235116,11411,11260,11119,7714,5962,10696,3083,0.828144278,0.817185572,0.806952609,0.559837434,0.432687423,0.776253719,0.223746281,Yes
A83007,0.486203145,10111,43.6969637,42.25264443,45.06371511,8494,8395,8294,5818,4541,7849,2262,0.840075166,0.830283849,0.820294729,0.575412917,0.449114825,0.776283256,0.223716744,Yes
C82043,0.506664499,12304,43.26145969,42.32611485,44.22207578,10239,10117,9987,6990,5225,9552,2752,0.832168401,0.822252926,0.811687256,0.568107932,0.424658648,0.7763329,0.2236671,Yes
N83003,0.51565402,7538,43.55001327,42.5515822,44.61298274,6308,6228,6167,4333,3258,5852,1686,0.836826744,0.82621385,0.818121518,0.574820907,0.432210135,0.776333245,0.223666755,Yes
B81619,0.484393335,4261,43.61253227,42.67248062,44.49567592,3514,3467,3428,2452,1841,3308,953,0.82468904,0.813658766,0.804505985,0.575451772,0.432058202,0.776343581,0.223656419,Yes
C81099,0.504269147,7847,44.14183764,43.17462724,45.12570694,6690,6597,6518,4682,3538,6092,1755,0.852555117,0.840703454,0.830635912,0.596661144,0.450872945,0.776347649,0.223652351,Yes
L82049,0.492753623,9108,42.86418533,41.84581105,43.8534632,7658,7575,7492,5154,3839,7071,2037,0.840799297,0.83168643,0.822573562,0.565876153,0.421497585,0.776350461,0.223649539,Yes
A85008,0.489594467,15905,43.05520277,42.3485296,43.73306233,13147,12995,12811,9106,6792,12348,3557,0.82659541,0.817038667,0.805469978,0.572524363,0.427035523,0.776359635,0.223640365,Yes
K83053,0.502529217,5733,43.88941218,42.96841375,44.8197756,4736,4687,4626,3453,2636,4451,1282,0.82609454,0.817547532,0.806907378,0.602302459,0.459794174,0.776382348,0.223617652,Yes
M91034,0.484310487,4844,43.40813377,42.5771526,44.18855084,4041,3989,3949,2664,2195,3761,1083,0.834227911,0.823492981,0.815235343,0.549958712,0.453137903,0.776424443,0.223575557,Yes
M82060,0.473684211,8360,43.85538278,42.20530303,45.34045455,7004,6912,6823,4862,3693,6491,1869,0.837799043,0.826794258,0.816148325,0.581578947,0.441746411,0.776435407,0.223564593,Yes
J83601,0.486254729,3965,44.26708701,43.81431535,44.69563083,3275,3230,3183,2398,1888,3079,886,0.825977301,0.814627995,0.802774275,0.604791929,0.476166456,0.776544767,0.223455233,Yes
C82656,0.49748954,2390,42.32259414,43.0412111,41.61115737,1940,1920,1901,1366,995,1856,534,0.811715481,0.80334728,0.79539749,0.571548117,0.416317992,0.776569038,0.223430962,Yes
F82033,0.490159574,3760,42.70292553,41.41128595,43.94470527,3093,3059,3021,2186,1586,2920,840,0.822606383,0.81356383,0.803457447,0.581382979,0.421808511,0.776595745,0.223404255,Yes
C82071,0.493910256,12480,43.30673077,42.19435432,44.39233692,10330,10187,10051,6978,5353,9692,2788,0.827724359,0.816266026,0.80536859,0.559134615,0.428926282,0.776602564,0.223397436,Yes
C84019,0.499963015,13519,43.31555588,42.38186122,44.24911243,11225,11094,10970,7788,5865,10499,3020,0.830312893,0.820622827,0.811450551,0.576078112,0.433833863,0.776610696,0.223389304,Yes
D81035,0.495467948,9157,43.97106039,42.9138197,45.00930736,7548,7427,7297,5356,4122,7112,2045,0.82428743,0.811073496,0.796876706,0.584907721,0.450147428,0.776673583,0.223326417,Yes
A85620,0.46547379,3968,42.87046371,41.14943151,44.36916549,3242,3202,3169,2235,1679,3082,886,0.81703629,0.806955645,0.798639113,0.563256048,0.423135081,0.77671371,0.22328629,Yes
D83018,0.495901639,12200,42.84188525,41.91107438,43.75756098,10074,9956,9837,7021,5142,9476,2724,0.825737705,0.816065574,0.806311475,0.575491803,0.42147541,0.776721311,0.223278689,Yes
A81022,0.497454328,10017,43.13167615,42.73028296,43.52900278,8299,8176,8090,5877,4438,7781,2236,0.828491564,0.816212439,0.807627034,0.586702606,0.44304682,0.776779475,0.223220525,Yes
B87013,0.488055119,13353,43.46334157,42.67561762,44.21430661,11116,10976,10843,7961,5895,10373,2980,0.832472104,0.821987568,0.81202726,0.596195611,0.441473826,0.776829177,0.223170823,Yes
M81091,0.483682453,13176,43.58469945,42.64255453,44.46729384,10843,10687,10541,7563,5932,10236,2940,0.822935641,0.811095932,0.800015179,0.573998179,0.450212508,0.776867031,0.223132969,Yes
F82045,0.500141924,3523,43.23133693,42.66288309,43.80011357,2930,2892,2859,2009,1442,2737,786,0.831677548,0.820891286,0.811524269,0.570252626,0.409310247,0.776894692,0.223105308,Yes
M87016,0.503288993,6841,43.67241631,42.99041534,44.36344909,5696,5638,5563,3795,3051,5315,1526,0.832626809,0.824148516,0.813185207,0.554743459,0.445987429,0.776933197,0.223066803,Yes
L83034,0.488380952,10500,43.20619048,42.1173947,44.24553239,8772,8671,8563,5973,4514,8158,2342,0.835428571,0.825809524,0.81552381,0.568857143,0.429904762,0.776952381,0.223047619,Yes
C88040,0.499219969,5769,44.14109898,43.49791667,44.7822776,4825,4751,4691,3449,2590,4483,1286,0.836366788,0.823539608,0.813139192,0.597850581,0.448951291,0.777084417,0.222915583,Yes
K84008,0.494551551,7158,44.2263202,43.20988701,45.22084024,5951,5869,5778,4264,3338,5563,1595,0.83137748,0.819921766,0.807208718,0.595697122,0.466331377,0.777172395,0.222827605,Yes
C84142,0.510052272,4974,43.62324085,42.73472605,44.54821502,4149,4093,4026,2923,2223,3866,1108,0.834137515,0.822878971,0.809408926,0.58765581,0.446924005,0.777241657,0.222758343,Yes
J82164,0.479330101,11345,43.437197,42.03089371,44.73184358,9238,9110,8964,6382,5026,8818,2527,0.814279418,0.802996915,0.79012781,0.562538563,0.443014544,0.777258704,0.222741296,Yes
L85039,0.502464125,13798,42.46158864,41.24188663,43.69337218,11398,11047,10648,7499,5984,10725,3073,0.826061748,0.800623279,0.771706044,0.543484563,0.433686041,0.777286563,0.222713437,Yes
K84019,0.499580402,15491,43.10302756,42.46388422,43.74109907,12729,12568,12394,8866,6721,12041,3450,0.821702924,0.811309793,0.800077464,0.572332322,0.433864825,0.777290039,0.222709961,Yes
M83088,0.500709128,15512,43.43173027,42.1606798,44.70639122,13116,12957,12821,9038,6702,12058,3454,0.845538938,0.835288809,0.826521403,0.582645694,0.432052604,0.777333677,0.222666323,Yes
P81033,0.501902074,8149,43.07006995,42.39315403,43.7521557,6730,6636,6556,4737,3525,6335,1814,0.825868205,0.814333047,0.804515892,0.581298319,0.432568413,0.777396,0.222604,Yes
C84017,0.489435344,24847,42.87004467,42.08921964,43.61855589,20184,19927,19683,14422,10615,19316,5531,0.812331469,0.801988168,0.792168069,0.580432245,0.427214553,0.777397674,0.222602326,Yes
L83127,0.485686508,9257,42.65896079,42.00689502,43.2747322,7508,7390,7296,5194,3980,7197,2060,0.811061899,0.798314789,0.788160311,0.561088906,0.429944907,0.777465702,0.222534298,Yes
N81087,0.494541965,25009,43.63425167,42.65451164,44.59283285,20627,20357,20116,14783,11018,19444,5565,0.824783078,0.813986965,0.804350434,0.591107201,0.440561398,0.777480107,0.222519893,Yes
M92003,0.53387197,1609,43.23803605,43.50407451,42.93333333,1329,1313,1294,924,693,1251,358,0.825978869,0.816034804,0.804226227,0.574269733,0.4307023,0.777501554,0.222498446,Yes
H81658,0.492164723,5488,44.14194606,43.62754535,44.64047363,4574,4527,4458,3253,2483,4267,1221,0.83345481,0.824890671,0.812317784,0.592747813,0.452441691,0.777514577,0.222485423,Yes
B82064,0.499700599,3340,44.61197605,43.89215099,45.33093956,2807,2767,2724,2011,1619,2597,743,0.840419162,0.828443114,0.815568862,0.602095808,0.484730539,0.77754491,0.22245509,Yes
A83626,0.507042254,2059,43.38659543,42.89463602,43.89261084,1708,1688,1668,1244,923,1601,458,0.829528898,0.819815444,0.810101991,0.604176785,0.448275862,0.777561923,0.222438077,Yes
H81070,0.494954634,11793,44.19036717,43.59174233,44.77703156,9824,9679,9548,6871,5479,9170,2623,0.833036547,0.820741118,0.809632833,0.582633766,0.464597643,0.77757992,0.22242008,Yes
P81642,0.526384649,2293,43.93545573,44.17398509,43.67034991,1943,1918,1889,1428,1017,1783,510,0.847361535,0.836458788,0.823811601,0.622764937,0.443523768,0.777583951,0.222416049,Yes
L82028,0.485103991,16011,43.19005684,41.85811768,44.44492965,13366,13184,12983,9164,6772,12450,3561,0.834801074,0.823433889,0.81088002,0.572356505,0.422959216,0.777590407,0.222409593,Yes
M86605,0.490114464,2883,42.63093999,42.72257608,42.54285714,2370,2342,2303,1621,1221,2242,641,0.822060354,0.812348248,0.798820673,0.562261533,0.42351717,0.777662157,0.222337843,Yes
A84614,0.519979508,1952,43.33760246,42.20788177,44.56136606,1627,1603,1576,1138,862,1518,434,0.833504098,0.821209016,0.807377049,0.582991803,0.441598361,0.777663934,0.222336066,Yes
K84041,0.505123967,12100,43.30504132,42.68520942,43.93770875,9992,9834,9711,7069,5279,9410,2690,0.825785124,0.812727273,0.802561983,0.584214876,0.436280992,0.77768595,0.22231405,Yes
L81086,0.485331604,44722,42.77225974,42.10545957,43.4010514,36521,36036,35583,25737,19137,34780,9942,0.816622691,0.805777917,0.795648674,0.575488574,0.427910201,0.777693305,0.222306695,Yes
M88030,0.496597537,6172,43.12880752,42.35921697,43.88799485,5157,5088,5020,3399,2663,4800,1372,0.835547634,0.824368114,0.813350616,0.550712897,0.431464679,0.777705768,0.222294232,Yes
N83604,0.522525992,2597,42.69849827,41.80324245,43.67822581,2182,2155,2128,1538,1070,2020,577,0.840200231,0.82980362,0.819407008,0.592221794,0.412013862,0.777820562,0.222179438,Yes
L81047,0.495175216,13783,42.51295074,41.71413919,43.29649325,11304,11142,10990,7524,5787,10721,3062,0.820140753,0.808387144,0.797359066,0.545889864,0.419865051,0.777842269,0.222157731,Yes
C81010,0.505671078,12696,43.99936988,43.00514019,45.01641173,10782,10663,10545,7428,5664,9876,2820,0.849243856,0.839870825,0.83057656,0.585066163,0.446124764,0.777882798,0.222117202,Yes
E82657,0.470203952,6276,42.53027406,40.94069807,43.94105263,5105,5026,4947,3377,2585,4882,1394,0.813416189,0.800828553,0.788240918,0.538081581,0.411886552,0.777884003,0.222115997,Yes
L85015,0.488288288,12765,42.80955738,42.12546125,43.46233925,10548,10392,10252,7114,5423,9930,2835,0.826321974,0.814101058,0.803133568,0.557305131,0.424833529,0.777908343,0.222091657,Yes
P92008,0.499090082,8792,43.02752502,41.93413856,44.11693915,7291,7192,7092,4982,3734,6841,1951,0.829276615,0.818016379,0.806642402,0.566651501,0.424704277,0.778093722,0.221906278,Yes
C81055,0.502250463,3777,43.1223193,42.26673695,43.9856383,3183,3141,3092,2181,1613,2939,838,0.842732327,0.831612391,0.818639132,0.577442415,0.427058512,0.778130792,0.221869208,Yes
C87004,0.487424941,11491,42.92994517,42.26209605,43.56502547,9441,9308,9180,6590,4956,8942,2549,0.821599513,0.810025237,0.798886085,0.573492298,0.431294056,0.778174223,0.221825777,Yes
M85141,0.467277043,2949,42.53340115,40.73875181,44.10757479,2413,2375,2347,1609,1250,2295,654,0.818243472,0.805357748,0.795863004,0.545608681,0.423872499,0.778229908,0.221770092,Yes
C83037,0.484363483,9497,42.74613036,42.02413043,43.42434143,7717,7591,7470,5388,4166,7391,2106,0.812572391,0.799305044,0.786564178,0.567337054,0.438664842,0.778245762,0.221754238,Yes
C81096,0.502304147,5425,43.23723502,42.55192661,43.92888889,4471,4420,4373,3203,2366,4222,1203,0.824147465,0.814746544,0.806082949,0.590414747,0.436129032,0.778248848,0.221751152,Yes
C82038,0.495540582,35767,43.1518998,42.50050779,43.7917752,29618,29267,28920,20765,15629,27836,7931,0.828081751,0.818268236,0.808566556,0.580563089,0.436967037,0.778259289,0.221740711,Yes
H81053,0.493394816,8024,43.77666999,42.67794898,44.84674047,6576,6486,6387,4698,3601,6245,1779,0.819541376,0.808325025,0.795987039,0.585493519,0.448778664,0.77829013,0.22170987,Yes
M84006,0.499571633,10505,43.70414089,43.39119665,44.01654936,8802,8700,8583,6283,4790,8176,2329,0.837886721,0.828177059,0.817039505,0.598096145,0.455973346,0.77829605,0.22170395,Yes
P92012,0.506612867,4461,42.6715983,41.56061947,43.81235802,3707,3653,3602,2511,1886,3472,989,0.830979601,0.818874692,0.807442278,0.562878278,0.422775163,0.778300829,0.221699171,Yes
P92023,0.490031717,8828,43.82838695,42.4368932,45.16548201,7448,7371,7287,5187,3944,6871,1957,0.843679203,0.834956955,0.825441776,0.587562302,0.446760308,0.778318985,0.221681015,Yes
P87016,0.493312836,13010,43.33120676,42.52228108,44.11878034,10745,10614,10491,7644,5569,10126,2884,0.825903151,0.815833974,0.806379708,0.58754804,0.428055342,0.778324366,0.221675634,Yes
B82053,0.496453901,12831,43.63564804,42.70047096,44.55765361,10824,10701,10555,7715,5590,9987,2844,0.84358195,0.833995791,0.822617099,0.601278154,0.435663627,0.77834931,0.22165069,Yes
C81017,0.492342342,8880,43.75653153,43.14752973,44.3471606,7421,7339,7271,5373,3993,6912,1968,0.835698198,0.826463964,0.818806306,0.605067568,0.449662162,0.778378378,0.221621622,Yes
N85048,0.495724907,5380,43.73828996,43.13948256,44.32694434,4507,4460,4409,3203,2421,4188,1192,0.837732342,0.828996283,0.819516729,0.59535316,0.45,0.778438662,0.221561338,Yes
C82002,0.489021043,10930,42.74849039,42.04864359,43.41826321,8942,8828,8713,6366,4719,8509,2421,0.818115279,0.80768527,0.797163769,0.582433669,0.431747484,0.778499543,0.221500457,Yes
F81087,0.493106483,13636,42.59078909,41.53926234,43.61371528,11283,11115,10979,7585,5642,10616,3020,0.827442065,0.815121737,0.805148137,0.556248167,0.4137577,0.778527427,0.221472573,Yes
B81029,0.498040645,10973,43.84206689,43.40018298,44.28050109,9176,9051,8914,6611,4953,8543,2430,0.836234394,0.824842796,0.812357605,0.602478812,0.451380662,0.778547343,0.221452657,Yes
P86021,0.499702381,3360,42.53392857,41.63668851,43.43010113,2748,2719,2690,1980,1424,2616,744,0.817857143,0.80922619,0.800595238,0.589285714,0.423809524,0.778571429,0.221428571,Yes
G82165,0.487571503,9615,42.64919397,41.74445392,43.51004668,7817,7680,7577,5477,4135,7486,2129,0.81300052,0.79875195,0.788039522,0.569630785,0.430057202,0.778575143,0.221424857,Yes
M84004,0.511855856,13875,42.99603604,41.942833,44.10039864,11507,11367,11224,7867,5820,10803,3072,0.829333333,0.819243243,0.808936937,0.566990991,0.419459459,0.778594595,0.221405405,Yes
N83024,0.488748995,7466,43.0614787,41.97697999,44.09824469,6182,6122,6051,4318,3250,5813,1653,0.828020359,0.819983927,0.810474149,0.57835521,0.435306724,0.778596303,0.221403697,Yes
M84011,0.495334864,20471,42.76405647,41.94211045,43.57080631,16940,16744,16546,11612,8645,15939,4532,0.82751209,0.81793757,0.808265351,0.567241464,0.422304724,0.778613649,0.221386351,Yes
A85018,0.494851485,5050,43.32475248,42.03801521,44.58526068,4198,4148,4101,2894,2208,3932,1118,0.831287129,0.821386139,0.812079208,0.573069307,0.437227723,0.778613861,0.221386139,Yes
B85014,0.486736842,9500,43.00284211,41.84775087,44.09823626,7891,7770,7674,5473,4062,7397,2103,0.830631579,0.817894737,0.807789474,0.576105263,0.427578947,0.778631579,0.221368421,Yes
N82101,0.510044643,2688,43.12686012,42.03209336,44.26651481,2266,2240,2208,1583,1177,2093,595,0.843005952,0.833333333,0.821428571,0.58891369,0.437872024,0.778645833,0.221354167,Yes
A89024,0.487817433,5828,43.06331503,42.76749912,43.34505863,4851,4793,4733,3331,2495,4538,1290,0.832361016,0.82240906,0.812113933,0.571551132,0.428105697,0.77865477,0.22134523,Yes
